"","word","n"
"711","continue",4709
"712","general",4707
"713","what's",4698
"714","history",4696
"715","books",4678
"716","glad",4674
"717","sad",4674
"718","fine",4669
"719","girls",4664
"720","send",4659
"721","jesus",4652
"722","step",4652
"723","lovely",4645
"724","starting",4643
"725","yourself",4611
"726","didn’t",4601
"727","chicago",4599
"728","wine",4570
"729","amount",4569
"730","medical",4568
"731","player",4567
"732","drive",4565
"733","decision",4563
"734","workers",4549
"735","a.m",4548
"736","david",4506
"737","earlier",4486
"738","she's",4471
"739","obama",4469
"740","longer",4451
"741","couldn't",4449
"742","texas",4448
"743","build",4447
"744","t",4447
"745","chris",4440
"746","term",4436
"747","upon",4435
"748","led",4426
"749","issues",4420
"750","level",4420
"751","lots",4408
"752","non",4403
"753","tuesday",4401
"754","states",4400
"755","looked",4399
"756","ya",4393
"757","hi",4383
"758","style",4369
"759","daily",4363
"760","current",4356
"761","mike",4353
"762","speak",4350
"763","per",4341
"764","quarter",4338
"765","nearly",4337
"766","cannot",4330
"767","text",4329
"768","omg",4314
"769","present",4311
"770","trip",4311
"771","ground",4305
"772","human",4298
"773","position",4298
"774","act",4296
"775","easier",4293
"776","mother",4286
"777","picked",4286
"778","sitting",4278
"779","super",4273
"780","lives",4259
"781","ability",4258
"782","winning",4256
"783","whose",4255
"784","spend",4246
"785","return",4237
"786","website",4232
"787","parents",4231
"788","international",4228
"789","town",4222
"790","process",4216
"791","pictures",4209
"792","quick",4208
"793","goal",4207
"794","pass",4207
"795","plans",4205
"796","church",4203
"797","choice",4193
"798","staff",4190
"799","management",4168
"800","war",4163
"801","washington",4162
"802","robert",4149
"803","republican",4148
"804","okay",4144
"805","career",4139
"806","recent",4138
"807","de",4130
"808","card",4129
"809","can’t",4120
"810","brought",4119
"811","happen",4118
"812","begins",4117
"813","companies",4113
"814","walk",4112
"815","points",4110
"816","chance",4105
"817","property",4104
"818","create",4102
"819","fight",4100
"820","quality",4084
"821","named",4082
"822","brother",4077
"823","ways",4076
"824","join",4072
"825","mark",4070
"826","situation",4067
"827","double",4062
"828","simply",4059
"829","minute",4049
"830","education",4047
"831","added",4046
"832","title",4028
"833","we'll",4022
"834","became",4020
"835","political",4012
"836","hospital",4011
"837","forget",4010
"838","guess",4010
"839","expected",4008
"840","chief",4003
"841","creative",3998
"842","you've",3994
"843","america",3991
"844","groups",3984
"845","round",3982
"846","wife",3978
"847","eat",3977
"848","blood",3968
"849","push",3963
"850","low",3959
"851","usually",3959
"852","moment",3953
"853","boys",3952
"854","piece",3938
"855","enjoy",3933
